Combination_ID,Average_Score,cot_prefix_node_Prompt_Preview,Generation,Timestamp
combo_0,0.680000,"<composite_prompt>
  We'll methodically break this...",6,2025-08-04T14:17:11.033655
combo_1,0.700000,"<composite_prompt>
  We'll methodically break this...",6,2025-08-04T14:17:11.033655
combo_2,0.640000,<compound><step><logical>Before we dive into the a...,6,2025-08-04T14:17:11.033655
combo_3,0.640000,<compound><simple>The answer is after the proof.</...,6,2025-08-04T14:17:11.033655
combo_4,0.600000,<compound><step><logical>Before we dive into the a...,6,2025-08-04T14:17:11.033655
combo_5,0.660000,<compound><simple>The answer is after the proof.</...,6,2025-08-04T14:17:11.033655
combo_6,0.660000,"<composite_prompt>
  We'll methodically break this...",6,2025-08-04T14:17:11.033655
combo_7,0.660000,"<composite_prompt>
  Let's systematically deconstr...",6,2025-08-04T14:17:11.033655
combo_8,0.680000,"<composite_prompt>
  We'll methodically break this...",6,2025-08-04T14:17:11.033655
combo_9,0.680000,<compound><step><logical>Before we dive into the a...,6,2025-08-04T14:17:11.033655
